Year,LocationAbbr,LocationDesc,Question,Category,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,Response,DataValueType,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,WeightedNumber,FootnoteText,Url,FootnoteType
2020,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,Any Disability,Age-adjusted Prevalence,24.8,,,24.5,25.2,64347214,,,
2019,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,Any Disability,Age-adjusted Prevalence,26.7,,,26.5,27,67243194,,,
2018,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,Any Disability,Age-adjusted Prevalence,26,,,25.7,26.3,67528389,,,
2017,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,Any Disability,Age-adjusted Prevalence,25.6,,,25.3,25.9,65373639,,,
2016,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,Any Disability,Age-adjusted Prevalence,24.6,,,24.4,24.9,62588135,,,
2020,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,Cognitive Disability,Age-adjusted Prevalence,10.9,,,10.7,11.2,26573764,,,
2019,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,Cognitive Disability,Age-adjusted Prevalence,12,,,11.8,12.3,28641116,,,
2018,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,Cognitive Disability,Age-adjusted Prevalence,11.5,,,11.3,11.7,28465825,,,
2017,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,Cognitive Disability,Age-adjusted Prevalence,11.4,,,11.2,11.6,27826517,,,
2016,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,Cognitive Disability,Age-adjusted Prevalence,10.8,,,10.6,10.9,26215883,,,
2020,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,Hearing Disability,Age-adjusted Prevalence,5.7,,,5.6,5.9,16195924,,,
2019,US,"United States, DC & Territories",Disability status and types among adults 18 years of age or older,Disability Estimates,Overall,Overall,,,Hearing Disability,Age-adjusted Prevalence,5.9,,,5.8,6.1,16203446,,,
