Year,LocationAbbr,LocationDesc,Question,Category,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,Response,DataValueType,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,WeightedNumber,FootnoteText,Url,FootnoteType
2020,US,"United States, DC & Territories",Binge drinking in the past 30 days among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",Yes,Age-adjusted Prevalence,17.4,,,16.6,18.2,4573882,,,
2020,US,"United States, DC & Territories",Binge drinking in the past 30 days among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",Yes,Age-adjusted Prevalence,15.4,,,13.7,17.3,959331,,,
2020,US,"United States, DC & Territories",Binge drinking in the past 30 days among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,Any Disability,Race/Ethnicity,Hispanic,Yes,Age-adjusted Prevalence,16.9,,,15.1,18.9,1813895,,,
2020,US,"United States, DC & Territories",Binge drinking in the past 30 days among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",Yes,Age-adjusted Prevalence,14,,,12,16.3,508941,,,
2020,US,"United States, DC & Territories",Binge drinking in the past 30 days among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,No Disability,Race/Ethnicity,"White, non-Hispanic",Yes,Age-adjusted Prevalence,19.3,,,18.9,19.7,18783302,,,
2020,US,"United States, DC & Territories",Binge drinking in the past 30 days among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,No Disability,Race/Ethnicity,"Black, non-Hispanic",Yes,Age-adjusted Prevalence,12.1,,,11.1,13.2,2367987,,,
2020,US,"United States, DC & Territories",Binge drinking in the past 30 days among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,No Disability,Race/Ethnicity,Hispanic,Yes,Age-adjusted Prevalence,16.1,,,15,17.2,5194158,,,
2020,US,"United States, DC & Territories",Binge drinking in the past 30 days among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,No Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",Yes,Age-adjusted Prevalence,10,,,9,11,1708245,,,
2020,US,"United States, DC & Territories",Binge drinking in the past 30 days among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",No,Age-adjusted Prevalence,82.6,,,81.8,83.4,32558468,,,
2020,US,"United States, DC & Territories",Binge drinking in the past 30 days among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",No,Age-adjusted Prevalence,84.6,,,82.7,86.3,6396317,,,
2020,US,"United States, DC & Territories",Binge drinking in the past 30 days among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,Any Disability,Race/Ethnicity,Hispanic,No,Age-adjusted Prevalence,83.1,,,81.1,84.9,9733974,,,
2020,US,"United States, DC & Territories",Binge drinking in the past 30 days among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",No,Age-adjusted Prevalence,86,,,83.7,88,3443905,,,
2020,US,"United States, DC & Territories",Binge drinking in the past 30 days among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,No Disability,Race/Ethnicity,"White, non-Hispanic",No,Age-adjusted Prevalence,80.7,,,80.3,81.1,87063340,,,
2020,US,"United States, DC & Territories",Binge drinking in the past 30 days among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,No Disability,Race/Ethnicity,"Black, non-Hispanic",No,Age-adjusted Prevalence,87.9,,,86.8,88.9,16840854,,,
2020,US,"United States, DC & Territories",Binge drinking in the past 30 days among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,No Disability,Race/Ethnicity,Hispanic,No,Age-adjusted Prevalence,83.9,,,82.8,85,24044324,,,
2020,US,"United States, DC & Territories",Binge drinking in the past 30 days among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,No Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",No,Age-adjusted Prevalence,90,,,89,91,14136694,,,
2020,US,"United States, DC & Territories",Body mass index category among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",Underweight,Age-adjusted Prevalence,2.9,,,2.5,3.2,934073,,,
2020,US,"United States, DC & Territories",Body mass index category among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",Underweight,Age-adjusted Prevalence,1.5,,,1,2,103926,,,
2020,US,"United States, DC & Territories",Body mass index category among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,Any Disability,Race/Ethnicity,Hispanic,Underweight,Age-adjusted Prevalence,2.5,,,1.9,3.4,249238,,,
2020,US,"United States, DC & Territories",Body mass index category among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",Underweight,Age-adjusted Prevalence,3.5,,,2.5,4.9,124595,,,
2020,US,"United States, DC & Territories",Body mass index category among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,No Disability,Race/Ethnicity,"White, non-Hispanic",Underweight,Age-adjusted Prevalence,1.6,,,1.5,1.7,1554095,,,
2020,US,"United States, DC & Territories",Body mass index category among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,No Disability,Race/Ethnicity,"Black, non-Hispanic",Underweight,Age-adjusted Prevalence,1.2,,,1,1.6,227836,,,
2020,US,"United States, DC & Territories",Body mass index category among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,No Disability,Race/Ethnicity,Hispanic,Underweight,Age-adjusted Prevalence,1.9,,,1.3,2.7,484880,,,
2020,US,"United States, DC & Territories",Body mass index category among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,No Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",Underweight,Age-adjusted Prevalence,3.4,,,2.8,4.2,540856,,,
2020,US,"United States, DC & Territories",Body mass index category among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",Normal Weight,Age-adjusted Prevalence,28.4,,,27.5,29.3,9717450,,,
2020,US,"United States, DC & Territories",Body mass index category among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",Normal Weight,Age-adjusted Prevalence,23.2,,,21.2,25.4,1621398,,,
2020,US,"United States, DC & Territories",Body mass index category among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,Any Disability,Race/Ethnicity,Hispanic,Normal Weight,Age-adjusted Prevalence,23.7,,,21.6,25.9,2441537,,,
2020,US,"United States, DC & Territories",Body mass index category among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",Normal Weight,Age-adjusted Prevalence,35.6,,,32,39.4,1382790,,,
2020,US,"United States, DC & Territories",Body mass index category among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,No Disability,Race/Ethnicity,"White, non-Hispanic",Normal Weight,Age-adjusted Prevalence,34.7,,,34.2,35.1,34784538,,,
2020,US,"United States, DC & Territories",Body mass index category among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,No Disability,Race/Ethnicity,"Black, non-Hispanic",Normal Weight,Age-adjusted Prevalence,25.7,,,24.4,26.9,4843203,,,
2020,US,"United States, DC & Territories",Body mass index category among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,No Disability,Race/Ethnicity,Hispanic,Normal Weight,Age-adjusted Prevalence,26.6,,,25.3,28.1,7516049,,,
2020,US,"United States, DC & Territories",Body mass index category among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,No Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",Normal Weight,Age-adjusted Prevalence,47.4,,,45.2,49.5,7225785,,,
2020,US,"United States, DC & Territories",Body mass index category among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",Overweight,Age-adjusted Prevalence,29.6,,,28.8,30.5,11546700,,,
2020,US,"United States, DC & Territories",Body mass index category among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",Overweight,Age-adjusted Prevalence,25.7,,,23.8,27.8,2008947,,,
2020,US,"United States, DC & Territories",Body mass index category among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,Any Disability,Race/Ethnicity,Hispanic,Overweight,Age-adjusted Prevalence,31.5,,,29.3,33.9,3443298,,,
2020,US,"United States, DC & Territories",Body mass index category among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",Overweight,Age-adjusted Prevalence,29.7,,,26.7,32.8,1175793,,,
2020,US,"United States, DC & Territories",Body mass index category among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,No Disability,Race/Ethnicity,"White, non-Hispanic",Overweight,Age-adjusted Prevalence,36,,,35.6,36.5,37612714,,,
2020,US,"United States, DC & Territories",Body mass index category among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,No Disability,Race/Ethnicity,"Black, non-Hispanic",Overweight,Age-adjusted Prevalence,34.8,,,33.4,36.2,6573855,,,
2020,US,"United States, DC & Territories",Body mass index category among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,No Disability,Race/Ethnicity,Hispanic,Overweight,Age-adjusted Prevalence,37.6,,,36,39.2,10147133,,,
2020,US,"United States, DC & Territories",Body mass index category among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,No Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",Overweight,Age-adjusted Prevalence,32.9,,,31,34.8,4786077,,,
2020,US,"United States, DC & Territories",Body mass index category among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",Obese,Age-adjusted Prevalence,39.1,,,38.2,40,14152231,,,
2020,US,"United States, DC & Territories",Body mass index category among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",Obese,Age-adjusted Prevalence,49.6,,,47.1,52.1,3631652,,,
2020,US,"United States, DC & Territories",Body mass index category among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,Any Disability,Race/Ethnicity,Hispanic,Obese,Age-adjusted Prevalence,42.3,,,39.7,45,4543369,,,
2020,US,"United States, DC & Territories",Body mass index category among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",Obese,Age-adjusted Prevalence,31.2,,,28.5,34.1,1236392,,,
2020,US,"United States, DC & Territories",Body mass index category among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,No Disability,Race/Ethnicity,"White, non-Hispanic",Obese,Age-adjusted Prevalence,27.7,,,27.3,28.1,28501179,,,
2020,US,"United States, DC & Territories",Body mass index category among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,No Disability,Race/Ethnicity,"Black, non-Hispanic",Obese,Age-adjusted Prevalence,38.3,,,37,39.8,7354189,,,
2020,US,"United States, DC & Territories",Body mass index category among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,No Disability,Race/Ethnicity,Hispanic,Obese,Age-adjusted Prevalence,33.9,,,32.2,35.6,9289533,,,
2020,US,"United States, DC & Territories",Body mass index category among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,No Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",Obese,Age-adjusted Prevalence,16.3,,,14.9,17.9,2479361,,,
2019,US,"United States, DC & Territories",Aerobic physical activity level among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",Sufficiently Active,Age-adjusted Prevalence,42.2,,,41.4,43.1,15475040,,,
2019,US,"United States, DC & Territories",Aerobic physical activity level among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",Sufficiently Active,Age-adjusted Prevalence,35.1,,,33.1,37.2,2435460,,,
2019,US,"United States, DC & Territories",Aerobic physical activity level among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,Any Disability,Race/Ethnicity,Hispanic,Sufficiently Active,Age-adjusted Prevalence,35.9,,,34,37.8,3881472,,,
2019,US,"United States, DC & Territories",Aerobic physical activity level among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",Sufficiently Active,Age-adjusted Prevalence,41.6,,,38.9,44.4,1687122,,,
2019,US,"United States, DC & Territories",Aerobic physical activity level among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,No Disability,Race/Ethnicity,"White, non-Hispanic",Sufficiently Active,Age-adjusted Prevalence,57.1,,,56.6,57.5,56492090,,,
2019,US,"United States, DC & Territories",Aerobic physical activity level among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,No Disability,Race/Ethnicity,"Black, non-Hispanic",Sufficiently Active,Age-adjusted Prevalence,48.7,,,47.4,50,8197313,,,
2019,US,"United States, DC & Territories",Aerobic physical activity level among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,No Disability,Race/Ethnicity,Hispanic,Sufficiently Active,Age-adjusted Prevalence,46.7,,,45.4,48,12349982,,,
2019,US,"United States, DC & Territories",Aerobic physical activity level among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,No Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",Sufficiently Active,Age-adjusted Prevalence,54.8,,,53.1,56.5,7379412,,,
2019,US,"United States, DC & Territories",Aerobic physical activity level among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,Any Disability,Race/Ethnicity,"White, non-Hispanic",Insufficiently Active,Age-adjusted Prevalence,18.7,,,18,19.4,5836832,,,
2019,US,"United States, DC & Territories",Aerobic physical activity level among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,Any Disability,Race/Ethnicity,"Black, non-Hispanic",Insufficiently Active,Age-adjusted Prevalence,17.7,,,16.2,19.3,1218679,,,
2019,US,"United States, DC & Territories",Aerobic physical activity level among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,Any Disability,Race/Ethnicity,Hispanic,Insufficiently Active,Age-adjusted Prevalence,19.7,,,18.2,21.2,2080157,,,
2019,US,"United States, DC & Territories",Aerobic physical activity level among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,Any Disability,Race/Ethnicity,"Other / Multirace, non-Hispanic",Insufficiently Active,Age-adjusted Prevalence,20.8,,,18.3,23.6,779804,,,
2019,US,"United States, DC & Territories",Aerobic physical activity level among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,No Disability,Race/Ethnicity,"White, non-Hispanic",Insufficiently Active,Age-adjusted Prevalence,22.1,,,21.7,22.4,20650456,,,
2019,US,"United States, DC & Territories",Aerobic physical activity level among adults 18 years of age or older,Health Risks & Behaviors,Disability Status,No Disability,Race/Ethnicity,"Black, non-Hispanic",Insufficiently Active,Age-adjusted Prevalence,22.3,,,21.3,23.5,3863244,,,
